tid,toi,pl_mass,tfopwg_disp,st_tmag,st_tmagerr,ra,dec,pmra,pmraerr,pmdec,pmdecerr,pl_tranepoch,pl_tranepocherr,pl_orbper,pl_orbpererr,pl_trandurh,pl_trandurherr,pl_trandepmmag,pl_trandepmmagerr,pl_trandep,pl_trandeperr,pl_rade,pl_radeerr,pl_insol,pl_eqt,pl_snr,st_dist,st_disterr,st_teff,st_tefferr,st_logg,st_loggerr,st_rad,st_raderr,st_feh,st_feherr,st_mass,st_masserr
231663901,101.01,115.19,KP,12.4069,0.006,318.737012,-55.871863,12.641,0.044,-16.011,0.041,2458326.009,0.000131546,1.43036995,7.72E-07,1.616599404,0.019208942,20.784,0.200653,18960.71229,184.79134,13.18745031,0.6576402,1281.240825,1525.904809,151.72173,375.31,4.411,5600,,4.48851,,0.890774012,0.0438467,,,1.05,0.129454
149603524,102.01,317,KP,9.7109,0.006,87.139821,-63.988329,-15.641,0.037,26.046,0.037,2460187.917,0.0001263,4.4119378,8.00E-07,3.65,0.011,16.477767,0.075115,15062,69.1814,15.4706,0.691963,653.252,1408,1112,175.631,0.588,6280,,4.32092,,1.21,0.05,0.24,0.05,1.28,0.190812
336732616,103.01,116.75,KP,11.5232,0.008,312.457488,-24.428694,10.426,0.07,15.62,0.051,2458327.253,0.000586,3.547854,0.000149,3.494333,0.049205,11.377523,0.133944,10424.3718,123.359314,14.581841,0.196435,1212.004376,1504.858953,59.5,411.211,7.752,6351,,4.22896,,1.4,,,,1.27,0.196969
231670397,104.01,121.75,KP,9.8638,0.006,319.949697,-58.148933,10.552,0.045,-10.658,0.043,2460150.609,0.0006817,4.0872956,0.0000023,5.586113047,0.050875474,3.885379,0.03875,3572.17125,35.689426,13.62377318,0.65182334,2242.36054,1755.076738,48.678577,316.678,2.9655,6036,,3.93359,,2.218669891,0.102573,,,1.16,0.166129
144065872,105.01,122.95,KP,9.4995,0.006,337.457824,-48.003099,91.976,0.052,-6.861,0.069,2459084.585,0.00011,2.184666949,4.85E-07,2.865280016,0.009074817,12.786825,0.037924,11708.02285,34.928566,13.70285267,0.66197515,1362.138143,1549.44098,349.33414,137.544,0.7905,5630,,4.37759,,1.238240004,0.0596985,,,1.03,0.127209
38846515,106.01,317,KP,10.3157,0.006,68.959816,-64.027039,10.845,0.035,-0.499,0.052,2460201.639,0.000127,2.8493825,3.00E-07,3.567,0.053,8.774451,0.027169,8049,25.0232,16.3869,0.734704,2005.83,1864,425,364.411,2.729,6900,,4.438,,1.77,0.08,,,1.44,0.243534
92352620,107.01,317,KP,9.6433,0.006,313.783239,-34.135751,26.376,0.078,-44.947,0.059,2460176.993,0.0004485,3.9502008,0.0000026,4.444,0.046,15.213018,0.104225,13914,95.9899,20.5357,0.899664,1009.38,1570,205,211.211,2.4835,6153,,4.18077,,1.71,0.07,0.22,0.1,1.14,0.150731
289793076,108.01,99.64,KP,13.163,0.01,316.96148,-26.09672,3.479,0.063,-10.313,0.038,2458328.084,0.000439131,3.044054067,4.26E-06,2.59845748,0.061165422,24.414911,0.532696,22236.01654,490.51093,12.10867994,0.2679916,315.9871326,1075.318454,34.314007,421.855,8.339,5523,,4.52192,,0.809867978,,,,0.95,
29344935,109.01,102.14,KP,13.2366,0.007,313.215475,-25.687376,1.053,0.052,-9.881,0.029,2458326.127,0.000478173,2.76676001,2.53E-06,2.68721777,0.07263539,16.351489,0.315828,14947.43878,290.84625,12.28673887,0.30639383,505.8840075,1209.574123,41.24269,513.011,9.1275,5346,,4.48823,,0.984866023,,,,0.93,
281459670,110.01,317,KP,11.6714,0.006,5.618525,-59.942589,-22.309,0.036,-4.893,0.034,2458328.04,0.000227355,3.174350424,1.74E-06,2.751085959,0.03093153,16.913636,0.168357,15457.32476,155.05025,14.91722558,0.82839006,718.9096994,1320.651823,99.91275,342.14,2.912,5943,,4.42524,,1.157060027,0.0633669,-0.1,0.1,1.03,0.12909
355703913,111.01,113.71,KP,13.183,0.006,0.774487,-62.469317,2.894,0.024,4.911,0.025,2458326.105,0.000396017,2.10615688,2.61E-06,1.46889345,0.05627796,13.263943,0.558677,12142.22385,514.4283,13.08687204,2.512208,691.8428073,1308.041753,38.7845,508.842,3.896,5380,,4.4337,,0.940697014,,0.245387,0.0875268,0.95,
388104525,112.01,125.23,KP,11.6035,0.006,55.933639,-65.19378,21.126,0.032,16.543,0.043,2460069.774,0.000364779,2.499799598,4.42E-07,2.865171019,0.009780298,15.991971,0.041631,14621.20596,38.342907,13.85160928,0.7051293,907.8624196,1399.989438,375.26334,302.448,2.004,5650,,4.28867,,1.137320042,0.0577764,,,1,0.121147
97409519,113.01,317,KP,12.1893,0.006,332.714337,-30.749719,-0.71,0.052,-14.516,0.049,2458327.053,0.000623,3.372877,0.000147,2.63426,0.043644,18.796923,0.230641,17163.60419,212.40587,14.201803,0.154789,615.165921,1270.187448,81.3,448.637,7.508,6050,,4.45061,,1.02,,,,1.17,0.16258
25155310,114.01,78.37,KP,10.6103,0.006,63.374706,-69.226593,63.134,0.045,53.433,0.039,2458327.52,6.06E-05,3.288789827,3.42E-07,3.43677173,0.009987716,7.633138,0.014978,7005.72479,13.795558,10.51358773,0.51853716,759.3373533,1338.839265,557.429,216.526,0.932,5800,,4.28004,,1.241750002,0.0610804,0.20683,0.0458093,1.01,0.123355
281541555,115.01,78.84,KP,13.0417,0.006,6.70264,-56.316102,21.46,0.027,7.316,0.024,2458329.903,0.000541665,4.742370901,3.13E-06,2.498814518,0.066505075,13.823066,0.267382,12650.81104,246.23778,10.55059224,0.20499046,209.7699043,970.6340996,50.48632,453.808,3.894,5377,185,4.42476,2.00401,0.877584994,,,,0.96,
238176110,116.01,97.44,KP,11.0443,0.006,357.846434,-70.152862,96.185,0.041,-1.747,0.038,2458326.689,7.42E-05,2.798580184,3.35E-07,2.380104344,0.012993329,18.294525,0.059786,16708.7152,55.063156,11.95149929,0.7325688,332.556249,1089.145817,380.53317,149.942,0.5175,4920,,4.49371,,0.906655014,0.0553769,0.32,0.08,0.81,0.0958693
322307342,117.01,317,KP,11.7806,0.006,15.006077,-58.904724,22.522,0.049,7.594,0.041,2459063.656,0.001190335,3.5862962,0.000153009,3.371094297,0.07846477,6.238423,0.124633,5729.324686,114.78426,16.47476108,0.9191712,1787.595594,1658.39152,32.356964,603.955,10.2025,5704.8,124.8,3.84,0.08,2.004410028,0.105699,-0.25,0.0707107,1.02,0.124059
266980320,118.01,18.15,CP,9.179,0.006,349.559266,-56.903986,313.918,0.039,-20.177,0.043,2460175.749,0.0010809,6.0344667,0.0000059,1.89,0.109,1.956086,0.054389,1800,50.0931,4.44029,0.243975,64.2648,788,42,94.1719,0.2512,5586,187,4.36763,0.270247,1.05,0.05,,,0.97,0.120939
278683844,119.01,4.84,PC,9.2789,0.006,99.238421,-58.016153,51.497,0.042,-205.6,0.049,2460189.428,0.0008946,5.5411114,0.0000046,2.467,0.438,0.687489,0.012777,633,11.7683,2.04482,0.124447,258.843,1117,54,66.6187,0.1003,5332,184,4.56429,0.272717,0.82,0.05,,,0.86,0.102503
278683844,119.02,3.89,PC,9.2789,0.006,99.238421,-58.016153,51.497,0.042,-205.6,0.049,2460038.721,0.0021308,10.6917268,0.0000212,3.002,0.753,0.581024,0.021827,535,20.1029,1.79811,0.116694,42.2657,710,36,66.6187,0.1003,5332,184,4.56429,0.272717,0.82,0.05,,,0.86,0.102503
394137592,120.01,90.88,CP,7.1062,0.006,4.447163,-66.358928,64.763,0.049,-5.056,0.041,2458332.083,0.000707,11.535076,0.001035,8.555958,0.069027,2.597913,0.031416,2389.90616,28.935114,12.215808,1.480912,,,32.9,79.5702,0.17345,5479.3,57,3.77,0.08,2.48771,0.298399,-0.02,0.09,0.96,0.124471
207081058,121.01,317,APC,9.9358,0.006,331.867517,-41.815511,49.561,0.042,-9.678,0.057,2459074.329,0.01323,14.7741056,0.0005679,5.504,0.222,16.454618,0.221027,15041,203.553,15.3936,0.735585,123.522,928,80,182.169,1.0865,6053,193,4.3135,0.321619,1.23,0.06,,,1.14,0.149653
231702397,122.01,7.46,CP,13.084,0.007,332.948236,-58.946085,138.138,0.089,-235.81,0.076,2458329.119,0.000865972,5.078032535,7.64E-06,1.210035307,0.27777362,6.450076,0.465919,5923.128307,429.03534,2.634776336,0.68248564,8.174313865,431.253644,15.281929,62.118,0.2158,3318,64,4.9581,0.407256,0.334125012,0.0100409,,,0.315858,0.0202514
290131778,123.01,317,CP,7.87598,0.011,319.699588,-26.616374,23.236,0.157,-57.557,0.152,2460175.035,0.0012834,3.3088922,0.0000071,6.114,0.702,5.154262,2.462493,4736,2265.47,24.9862,3.98163,17074.7,3184,133,161.498,2.4235,6188,194,4.27166,2.00586,2.62,0.13,,,1.263,0.201024
29831208,124.01,317,APC,11.1311,0.006,66.58263,-67.806354,7.888,0.108,32.653,0.115,2460042.2,0.001268537,1.8428078,0.0000014,1.449,0.149,2.119253,0.005817,1950,5.35727,21.2705,,1687.83,1785,66,809.252,43.8985,5080,181,4.48159,2.00353,4.09,,,,,
52368076,125.01,7.65,CP,10.1985,0.006,23.593425,-66.676349,-119.8,0.066,-122.953,0.08,2460206.744,0.0019795,4.6517186,0.0000083,2.709,0.921,1.06237,0.086613,978,79.7705,2.66889,0.203698,540.772,1343,26,111.059,0.442,5154,182,4.47072,0.28501,0.85,0.05,,,0.91,0.110203
52368076,125.02,7.42,CP,10.1985,0.006,23.593425,-66.676349,-119.8,0.066,-122.953,0.08,2460202.05,0.0032682,9.1549418,0.0000249,2.457,0.341,1.196054,0.065582,1101,60.4017,2.62011,0.183373,42.2592,710,18,111.059,0.442,5154,182,4.47072,0.28501,0.85,0.05,,,0.91,0.110203
52368076,125.03,7.07,CP,10.1985,0.006,23.593425,-66.676349,-119.8,0.066,-122.953,0.08,2460181.147,0.0052731,19.9815709,0.0000896,2.724,0.716,0.987383,0.076907,909,70.8314,2.54717,0.192388,16.5853,562,10,111.059,0.442,5154,182,4.47072,0.28501,0.85,0.05,,,0.91,0.110203
70440470,126.01,124.3,KP,12.7923,0.006,339.489275,-35.154203,-9.326,0.041,-50.142,0.045,2458326.731,0.00042045,3.035397712,3.68E-06,2.796467795,0.059945308,17.566776,0.292171,16049.41204,269.06363,13.79115826,0.73552907,726.7569274,1324.241044,41.57743,573.027,11.688,5751,189,4.35036,,1.072239995,0.053588,,,1.09,0.142327
234523599,127.01,76,CP,14.1266,0.007,15.551889,-61.756133,78.858,0.087,-27.095,0.064,2458325.651,0.000243106,3.795517784,2.27E-06,2.019813485,0.031575486,58.298733,0.608638,52278.9941,560.4189,10.32616195,0.33078393,18.0832336,525.9431131,75.709694,140.225,0.86,3424,,4.438,,0.445371985,0.01356,,,0.44159,0.0205201
