X_test_index,quantile,pl_mass_pred,pl_rade_pred,pl_mass,pl_rade,pl_radeerr,pl_mass_pred_recal,pl_rade_pred_recal,mass_q90,radius_q90,mass_q10,radius_q10,p_mass,p_radius
916,0.1,5.89,2.30057,11.65,3.033894354322073,0.30991,0.031189083820662766,,0.9732441471571907,,0.031189083820662766,,11.65,3.033894354322073
1855,0.1,96.91,10.42804,121.48,12.816795503065254,0.640087,0.031189083820662766,,1.0,,0.031189083820662766,,121.48,12.816795503065254
575,0.1,8.47,2.84674,7.52,2.4489058556878387,0.154363,0.031189083820662766,,0.9732441471571907,,0.031189083820662766,,7.52,2.4489058556878387
2431,0.1,117.11,13.27165,317.0,14.762200523844106,0.773281,0.05660377358490566,,1.0,,0.05660377358490566,,317.0,14.762200523844106
1193,0.1,6.62,2.45531,17.51,4.05380291299332,0.243913,0.031189083820662766,,0.9732441471571907,,0.031189083820662766,,17.51,4.05380291299332
989,0.1,66.56,9.54526,317.0,10.38196957800132,6.28631,0.031189083820662766,,1.0,,0.031189083820662766,,317.0,10.38196957800132
2354,0.1,87.05,10.27194459416307,122.07,12.067248492273556,1.2313935,0.031189083820662766,,1.0,,0.031189083820662766,,122.07,12.067248492273556
1015,0.1,19.14,4.951403000000002,28.74,8.271413498696276,1.5610227081394588,0.031189083820662766,,1.0,,0.031189083820662766,,28.74,8.271413498696276
832,0.1,317.0,14.6101,317.0,21.781868904533205,1.5610227081394588,1.0,,1.0,,1.0,,317.0,21.781868904533205
2301,0.1,98.34,11.76950648,103.14,11.501883752072231,0.6672009,0.05660377358490566,,1.0,,0.05660377358490566,,103.14,11.501883752072231
806,0.1,11.220000000000002,3.39245,19.15,4.151175507990062,0.346084,0.031189083820662766,,0.9732441471571907,,0.031189083820662766,,19.15,4.151175507990062
565,0.1,7.36,2.616310537,12.2,3.170877256855928,0.272617,0.031189083820662766,,0.9732441471571907,,0.031189083820662766,,12.2,3.170877256855928
1328,0.1,3.54,1.70003496,11.09,3.0323944529042386,0.225957,0.031189083820662766,,0.9732441471571907,,0.031189083820662766,,11.09,3.0323944529042386
1810,0.1,43.16,7.40327,61.72,8.000658878460449,0.892622,0.031189083820662766,,1.0,,0.031189083820662766,,61.72,8.000658878460449
791,0.1,4.02,1.862558727,7.86,2.5089662803852617,0.174198,0.031189083820662766,,0.9732441471571907,,0.031189083820662766,,7.86,2.5089662803852617
2191,0.1,7.34,2.610331829,10.25,1.866272006468516,1.0234563,0.031189083820662766,,0.9732441471571907,,0.031189083820662766,,10.25,1.866272006468516
1190,0.1,44.02100000000001,7.481651000000001,103.38,11.652388436367657,0.5772,0.031189083820662766,,1.0,,0.031189083820662766,,103.38,11.652388436367657
1079,0.1,2.74,1.45952,4.75,1.872425724552679,0.114591,0.031189083820662766,,0.9565217391304348,,0.031189083820662766,,4.75,1.872425724552679
1675,0.1,19.01,4.584822,34.26,4.465278904533205,1.5610227081394588,0.031189083820662766,,0.9732441471571907,,0.031189083820662766,,34.26,4.465278904533205
937,0.1,6.38,2.404864435,7.46,1.5648178855206551,0.835383,0.031189083820662766,,0.9732441471571907,,0.031189083820662766,,7.46,1.5648178855206551
2335,0.1,48.02000000000001,7.19016,100.85,7.093418931886808,3.97345,0.031189083820662766,,1.0,,0.031189083820662766,,100.85,7.093418931886808
909,0.1,21.54,4.92227,36.41,6.107281305779794,0.458256,0.031189083820662766,,0.9732441471571907,,0.031189083820662766,,36.41,6.107281305779794
895,0.1,10.694,3.2807,17.25,4.002654093325189,0.241657,0.031189083820662766,,0.9732441471571907,,0.031189083820662766,,17.25,4.002654093325189
674,0.1,12.320000000000002,3.5571660000000014,27.97,0.230591569440814,4.2950416,0.031189083820662766,,0.9732441471571907,,0.031189083820662766,,27.97,0.230591569440814
1246,0.1,88.458,11.12151,129.58,13.308538874982217,0.65761,0.031189083820662766,,1.0,,0.031189083820662766,,129.58,13.308538874982217
1613,0.1,82.77,10.8015,317.0,13.290468904533206,1.5610227081394588,0.031189083820662766,,1.0,,0.031189083820662766,,317.0,13.290468904533206
1489,0.1,8.656,2.8545290134000005,14.37,3.48713301303024,0.298503,0.031189083820662766,,0.9732441471571907,,0.031189083820662766,,14.37,3.48713301303024
949,0.1,89.57,11.37324393,99.4,11.17173617568297,0.7181252,0.031189083820662766,,1.0,,0.031189083820662766,,99.4,11.17173617568297
1185,0.1,317.0,14.6101,317.0,14.43740864624158,0.946034,1.0,,1.0,,1.0,,317.0,14.43740864624158
746,0.1,19.35,4.615,76.17,6.323959700169159,3.12117,0.031189083820662766,,0.9732441471571907,,0.031189083820662766,,76.17,6.323959700169159
621,0.1,317.0,13.898792836,317.0,14.35494704166932,5.22012,1.0,,1.0,,1.0,,317.0,14.35494704166932
1047,0.1,88.361,11.2371,317.0,15.35922909820011,4.43507,0.031189083820662766,,1.0,,0.031189083820662766,,317.0,15.35922909820011
33,0.1,5.7,2.2235769549000004,3.59,0.7954233097286598,0.714717,0.031189083820662766,,0.9732441471571907,,0.031189083820662766,,3.59,0.7954233097286598
2119,0.1,5.31,2.16083,8.13,2.5572936141749447,0.170915,0.031189083820662766,,0.9732441471571907,,0.031189083820662766,,8.13,2.5572936141749447
568,0.1,4.4,1.9276922102,6.82,2.2435244689025664,0.202899,0.031189083820662766,,0.9732441471571907,,0.031189083820662766,,6.82,2.2435244689025664
684,0.1,317.0,14.8934,317.0,19.620087699669785,1.97652,1.0,,1.0,,1.0,,317.0,19.620087699669785
302,0.1,89.0,10.27194459416307,105.64,10.355057326599123,1.699505,0.031189083820662766,,1.0,,0.031189083820662766,,105.64,10.355057326599123
2189,0.1,88.92,10.5731,317.0,13.587031513980492,1.19704,0.031189083820662766,,1.0,,0.031189083820662766,,317.0,13.587031513980492
1892,0.1,4.72,2.03371,6.55,2.266825941477932,0.137602,0.031189083820662766,,0.9732441471571907,,0.031189083820662766,,6.55,2.266825941477932
557,0.1,16.509000000000015,2.23876,317.0,8.271413498696276,1.5610227081394588,0.031189083820662766,,1.0,,0.031189083820662766,,317.0,8.271413498696276
259,0.1,112.14,12.96216425,317.0,13.73769066044646,0.77020836,0.05660377358490566,,1.0,,0.05660377358490566,,317.0,13.73769066044646
399,0.1,4.5280000000000005,1.90189,6.5,1.9168086563877191,0.40144834,0.031189083820662766,,0.9732441471571907,,0.031189083820662766,,6.5,1.9168086563877191
687,0.1,107.04,12.62979048,129.16,8.750594847689936,4.18181,0.05660377358490566,,1.0,,0.05660377358490566,,129.16,8.750594847689936
53,0.1,29.29,5.94241,45.74,6.450525858540703,0.9441151,0.031189083820662766,,0.9732441471571907,,0.031189083820662766,,45.74,6.450525858540703
1835,0.1,50.31,8.10129,78.84,9.70083627761992,0.660109,0.031189083820662766,,1.0,,0.031189083820662766,,78.84,9.70083627761992
2261,0.1,34.67,6.51393,42.06,6.589864875508086,0.54134,0.031189083820662766,,0.9732441471571907,,0.031189083820662766,,42.06,6.589864875508086
1096,0.1,50.15,8.316644,87.41,9.247168904533204,1.5610227081394588,0.031189083820662766,,1.0,,0.031189083820662766,,87.41,9.247168904533204
810,0.1,7.296,2.601476603,10.53,1.850488590357154,1.0754806,0.031189083820662766,,0.9732441471571907,,0.031189083820662766,,10.53,1.850488590357154
1610,0.1,110.97,12.897362545,131.29,13.415243919742084,0.634353,0.05660377358490566,,1.0,,0.05660377358490566,,131.29,13.415243919742084
251,0.1,5.26,5.657227,16.17,1.066624423049471,2.4100754,0.031189083820662766,,1.0,,0.031189083820662766,,16.17,1.066624423049471
1226,0.1,113.064,13.043899789,317.0,13.49741670128294,0.615803,0.05660377358490566,,1.0,,0.05660377358490566,,317.0,13.49741670128294
1745,0.1,77.73,10.27194459416307,317.0,11.426029945427546,1.18877,0.031189083820662766,,1.0,,0.031189083820662766,,317.0,11.426029945427546
1969,0.1,6.2200000000000015,2.36311,12.86,3.364143584679832,0.2078,0.031189083820662766,,0.9732441471571907,,0.031189083820662766,,12.86,3.364143584679832
1362,0.1,35.95,6.64236,49.31,7.335922373987381,0.521967,0.031189083820662766,,0.9732441471571907,,0.031189083820662766,,49.31,7.335922373987381
1436,0.1,67.22200000000001,9.705575708,88.84,10.578058209541268,0.57834905,0.031189083820662766,,1.0,,0.031189083820662766,,88.84,10.578058209541268
935,0.1,2.21,1.28248,3.16,1.3213373334109102,0.20889829,0.031189083820662766,,0.9565217391304348,,0.031189083820662766,,3.16,1.3213373334109102
2325,0.1,103.79,10.27194459416307,317.0,13.575702153777389,1.1478163,0.05660377358490566,,1.0,,0.05660377358490566,,317.0,13.575702153777389
661,0.1,84.51,10.27194459416307,111.68,-3.53438435512035,12.542709,0.031189083820662766,,1.0,,0.031189083820662766,,111.68,-3.53438435512035
1644,0.1,35.03,6.547178712,40.53,6.605539569945034,0.411681,0.031189083820662766,,0.9732441471571907,,0.031189083820662766,,40.53,6.605539569945034
1890,0.1,52.71,8.72806,69.6,7.821988904533206,1.5610227081394588,0.031189083820662766,,0.9732441471571907,,0.031189083820662766,,69.6,7.821988904533206
452,0.1,45.63,6.98229,100.72,-58.41126576071351,55.087612,0.031189083820662766,,1.0,,0.031189083820662766,,100.72,-58.41126576071351
768,0.1,5.38,2.18203,10.59,2.9833672166573777,0.20000492,0.031189083820662766,,0.9732441471571907,,0.031189083820662766,,10.59,2.9833672166573777
727,0.1,56.98,9.851770882,317.0,8.271413498696276,1.5610227081394588,0.031189083820662766,,1.0,,0.031189083820662766,,317.0,8.271413498696276
1018,0.1,29.24,5.87762,39.68,6.377205959623343,0.518367,0.031189083820662766,,0.9732441471571907,,0.031189083820662766,,39.68,6.377205959623343
917,0.1,1.31,1.0883,2.55,1.2295667348621588,0.136111,0.031189083820662766,,0.9473684210526315,,0.031189083820662766,,2.55,1.2295667348621588
215,0.1,317.0,14.763228937000004,317.0,16.747769177672794,1.08769,1.0,,1.0,,1.0,,317.0,16.747769177672794
1825,0.1,25.93,5.62786,44.16,6.614661069398542,0.678934,0.031189083820662766,,0.9732441471571907,,0.031189083820662766,,44.16,6.614661069398542
2208,0.1,55.46,8.649263489700001,84.73,9.914564901351824,0.809749,0.031189083820662766,,0.9732441471571907,,0.031189083820662766,,84.73,9.914564901351824
9,0.1,110.01,12.53990524,317.0,13.855601001725416,0.82839006,0.05660377358490566,,1.0,,0.05660377358490566,,317.0,13.855601001725416
