tid,toi,pl_mass,tfopwg_disp,st_tmag,st_tmagerr,ra,dec,pmra,pmraerr,pmdec,pmdecerr,pl_tranepoch,pl_tranepocherr,pl_orbper,pl_orbpererr,pl_trandurh,pl_trandurherr,pl_trandepmmag,pl_trandepmmagerr,pl_trandep,pl_trandeperr,pl_rade,pl_radeerr,pl_insol,pl_eqt,pl_snr,st_dist,st_disterr,st_teff,st_tefferr,st_logg,st_loggerr,st_rad,st_raderr,st_feh,st_feherr,st_mass,st_masserr
231663901,101.01,115.19,1,12.4069,0.006,318.737012,-55.871863,12.641,0.044,-16.011,0.041,2458326.009,0.000131546,1.43036995,7.72e-07,1.616599404,0.019208942,20.784,0.200653,18960.71229,184.79134,13.18745031,0.6576402,1281.240825,1525.904809,151.72173,375.31,4.411,5600.0,,4.48851,,0.890774012,0.0438467,,,1.05,0.129454
336732616,103.01,116.75,1,11.5232,0.008,312.457488,-24.428694,10.426,0.07,15.62,0.051,2458327.253,0.000586,3.547854,0.000149,3.494333,0.049205,11.377523,0.133944,10424.3718,123.359314,14.581841,0.196435,1212.004376,1504.858953,59.5,411.211,7.752,6351.0,,4.22896,,1.4,,,,1.27,0.196969
231670397,104.01,121.75,1,9.8638,0.006,319.949697,-58.148933,10.552,0.045,-10.658,0.043,2460150.609,0.0006817,4.0872956,2.3e-06,5.586113047,0.050875474,3.885379,0.03875,3572.17125,35.689426,13.62377318,0.65182334,2242.36054,1755.076738,48.678577,316.678,2.9655,6036.0,,3.93359,,2.218669891,0.102573,,,1.16,0.166129
144065872,105.01,122.95,1,9.4995,0.006,337.457824,-48.003099,91.976,0.052,-6.861,0.069,2459084.585,0.00011,2.184666949,4.85e-07,2.865280016,0.009074817,12.786825,0.037924,11708.02285,34.928566,13.70285267,0.66197515,1362.138143,1549.44098,349.33414,137.544,0.7905,5630.0,,4.37759,,1.238240004,0.0596985,,,1.03,0.127209
289793076,108.01,99.64,1,13.163,0.01,316.96148,-26.09672,3.479,0.063,-10.313,0.038,2458328.084,0.000439131,3.044054067,4.26e-06,2.59845748,0.061165422,24.414911,0.532696,22236.01654,490.51093,12.10867994,0.2679916,315.9871326,1075.318454,34.314007,421.855,8.339,5523.0,,4.52192,,0.809867978,,,,0.95,
29344935,109.01,102.14,1,13.2366,0.007,313.215475,-25.687376,1.053,0.052,-9.881,0.029,2458326.127,0.000478173,2.76676001,2.53e-06,2.68721777,0.07263539,16.351489,0.315828,14947.43878,290.84625,12.28673887,0.30639383,505.8840075,1209.574123,41.24269,513.011,9.1275,5346.0,,4.48823,,0.984866023,,,,0.93,
355703913,111.01,113.71,1,13.183,0.006,0.774487,-62.469317,2.894,0.024,4.911,0.025,2458326.105,0.000396017,2.10615688,2.61e-06,1.46889345,0.05627796,13.263943,0.558677,12142.22385,514.4283,13.08687204,2.512208,691.8428073,1308.041753,38.7845,508.842,3.896,5380.0,,4.4337,,0.940697014,,0.245387,0.0875268,0.95,
388104525,112.01,125.23,1,11.6035,0.006,55.933639,-65.19378,21.126,0.032,16.543,0.043,2460069.774,0.000364779,2.499799598,4.42e-07,2.865171019,0.009780298,15.991971,0.041631,14621.20596,38.342907,13.85160928,0.7051293,907.8624196,1399.989438,375.26334,302.448,2.004,5650.0,,4.28867,,1.137320042,0.0577764,,,1.0,0.121147
25155310,114.01,78.37,1,10.6103,0.006,63.374706,-69.226593,63.134,0.045,53.433,0.039,2458327.52,6.06e-05,3.288789827,3.42e-07,3.43677173,0.009987716,7.633138,0.014978,7005.72479,13.795558,10.51358773,0.51853716,759.3373533,1338.839265,557.429,216.526,0.932,5800.0,,4.28004,,1.241750002,0.0610804,0.20683,0.0458093,1.01,0.123355
281541555,115.01,78.84,1,13.0417,0.006,6.70264,-56.316102,21.46,0.027,7.316,0.024,2458329.903,0.000541665,4.742370901,3.13e-06,2.498814518,0.066505075,13.823066,0.267382,12650.81104,246.23778,10.55059224,0.20499046,209.7699043,970.6340996,50.48632,453.808,3.894,5377.0,185.0,4.42476,2.00401,0.877584994,,,,0.96,
